Fecha y hora | Temperatura (°C)
-------------------------------
2025-05-17 10:28:55 | 53.4
Fecha y hora | Temperatura (°C)
-------------------------------
2025-05-17 11:44:13 | 57.8
2025-05-17 11:44:43 | 56.7
2025-05-17 11:45:13 | 58.4
2025-05-17 11:45:43 | 57.8
2025-05-17 11:46:13 | 58.4
2025-05-17 11:46:43 | 58.4
2025-05-17 11:47:13 | 57.8
2025-05-17 11:47:43 | 57.3
2025-05-17 11:48:13 | 57.8
2025-05-17 11:48:43 | 57.3
2025-05-17 11:49:13 | 57.3
2025-05-17 11:49:43 | 56.7
2025-05-17 11:50:13 | 56.7
2025-05-17 11:50:43 | 57.8
2025-05-17 11:51:13 | 57.3
2025-05-17 11:51:43 | 56.7
2025-05-17 11:52:13 | 56.7
2025-05-17 11:52:43 | 56.7
2025-05-17 11:53:13 | 56.7
2025-05-17 11:53:43 | 56.2
2025-05-17 11:54:13 | 57.3
2025-05-17 11:54:43 | 56.7
2025-05-17 11:55:13 | 56.2
2025-05-17 11:55:43 | 57.8
2025-05-17 11:56:13 | 57.3
2025-05-17 11:56:43 | 56.7
2025-05-17 11:57:13 | 55.6
2025-05-17 11:57:43 | 56.2
2025-05-17 11:58:13 | 55.1
2025-05-17 11:58:43 | 56.7
2025-05-17 11:59:13 | 57.3
2025-05-17 11:59:43 | 56.2
2025-05-17 12:00:13 | 55.6
2025-05-17 12:00:43 | 56.2
2025-05-17 12:01:13 | 56.7
2025-05-17 12:01:43 | 56.7
2025-05-17 12:02:13 | 57.3
2025-05-17 12:02:43 | 57.8
2025-05-17 12:03:13 | 55.6
2025-05-17 12:03:43 | 57.8
2025-05-17 12:04:13 | 56.7
2025-05-17 12:04:43 | 57.3
2025-05-17 12:05:13 | 57.3
2025-05-17 12:05:43 | 57.3
2025-05-17 12:06:13 | 60.0
2025-05-17 12:06:43 | 59.5
2025-05-17 12:07:13 | 58.4
2025-05-17 12:07:43 | 58.4
2025-05-17 12:08:13 | 58.4
2025-05-17 12:08:43 | 57.3
2025-05-17 12:09:13 | 57.8
2025-05-17 12:09:43 | 57.3
2025-05-17 12:10:13 | 58.4
2025-05-17 12:10:43 | 58.9
2025-05-17 12:11:13 | 58.9
2025-05-17 12:11:43 | 57.8
2025-05-17 12:12:13 | 58.4
2025-05-17 12:12:43 | 56.7
2025-05-17 12:13:13 | 58.9
2025-05-17 12:13:43 | 58.9
2025-05-17 12:14:13 | 57.3
2025-05-17 12:14:43 | 58.4
2025-05-17 12:15:13 | 59.5
2025-05-17 12:15:43 | 57.8
2025-05-17 12:16:13 | 57.3
2025-05-17 12:16:43 | 57.8
2025-05-17 12:17:13 | 57.3
2025-05-17 12:17:43 | 58.4
2025-05-17 12:18:13 | 57.8
2025-05-17 12:18:43 | 57.3
2025-05-17 12:19:13 | 57.3
2025-05-17 12:19:43 | 56.7
2025-05-17 12:20:13 | 56.7
2025-05-17 12:20:43 | 56.7
2025-05-17 12:21:13 | 56.7
2025-05-17 12:21:43 | 57.8
2025-05-17 12:22:13 | 58.4
2025-05-17 12:22:43 | 55.6
2025-05-17 12:23:13 | 57.3
2025-05-17 12:23:43 | 56.7
2025-05-17 12:24:13 | 56.7
2025-05-17 12:24:43 | 56.7
2025-05-17 12:25:13 | 55.6
2025-05-17 12:25:43 | 56.7
2025-05-17 12:26:13 | 55.6
2025-05-17 12:26:43 | 56.2
2025-05-17 12:27:13 | 56.7
2025-05-17 12:27:43 | 54.5
2025-05-17 12:28:13 | 56.2
